,datastreamid,datastreamname,siteid,variableid,fieldname,deviceid,methodid,comments,qualitycontrollevelid,rangemin,rangemax,annualtiming,downloaddate,bdate,edate
132,40947,NPS_KAUA2,15782,1174,NPS_RH,1,33,,,,,,2016-12-01,,
133,40948,NPS_KLIA2,15783,1174,NPS_RH,1,33,,,,,,2016-12-01,,
134,40949,NPS_KUGA2,15784,1174,NPS_RH,1,33,,,,,,2016-12-01,,
135,40950,NPS_MITA2,15785,1174,NPS_RH,1,33,,,,,,2016-12-01,,
136,40951,NPS_MNOA2,15786,1174,NPS_RH,1,33,,,,,,2016-12-01,,
137,40952,NPS_PAMA2,15787,1174,NPS_RH,1,33,,,,,,2016-12-01,,
138,40953,NPS_RAMA2,15788,1174,NPS_RH,1,33,,,,,,2016-12-01,,
139,40954,NPS_RUGA2,15789,1174,NPS_RH,1,33,,,,,,2016-12-01,,
140,40955,NPS_SRWA2,15790,1174,NPS_RH,1,33,,,,,,2016-12-01,,
141,40956,NPS_SRTA2,15791,1174,NPS_RH,1,33,,,,,,2016-12-01,,
142,40957,NPS_SSIA2,15792,1174,NPS_RH,1,33,,,,,,2016-12-01,,
143,40958,NPS_SMPA2,15793,1174,NPS_RH,1,33,,,,,,2016-12-01,,
144,40959,NPS_TAHA2,15794,1174,NPS_RH,1,33,,,,,,2016-12-01,,
145,40960,NPS_TANA2,15795,1174,NPS_RH,1,33,,,,,,2016-12-01,,
146,40961,NPS_TEBA2,15796,1174,NPS_RH,1,33,,,,,,2016-12-01,,
147,40962,NPS_TKLA2,15797,1174,NPS_RH,1,33,,,,,,2016-12-01,,
148,40963,NPS_UPRA2,15798,1174,NPS_RH,1,33,,,,,,2016-12-01,,
149,40964,NPS_WIGA2,15799,1174,NPS_RH,1,33,,,,,,2016-12-01,,
150,40965,NPS_ASIA2,15770,1175,NPS_Battery_Voltage,1,33,,,,,,2016-12-01,,
151,40966,NPS_CREA2,15771,1175,NPS_Battery_Voltage,1,33,,,,,,2016-12-01,,
152,40967,NPS_CHMA2,15772,1175,NPS_Battery_Voltage,1,33,,,,,,2016-12-01,,
153,40968,NPS_CTUA2,15773,1175,NPS_Battery_Voltage,1,33,,,,,,2016-12-01,,
154,40969,NPS_CCLA2,15774,1175,NPS_Battery_Voltage,1,33,,,,,,2016-12-01,,
155,40970,NPS_DVLA2,15775,1175,NPS_Battery_Voltage,1,33,,,,,,2016-12-01,,
156,40971,NPS_DKLA2,15776,1175,NPS_Battery_Voltage,1,33,,,,,,2016-12-01,,
157,40972,NPS_EVCA2,15777,1175,NPS_Battery_Voltage,1,33,,,,,,2016-12-01,,
158,40973,NPS_ELLA2,15778,1175,NPS_Battery_Voltage,1,33,,,,,,2016-12-01,,
159,40974,NPS_GGLA2,15779,1175,NPS_Battery_Voltage,1,33,,,,,,2016-12-01,,
160,40975,NPS_HOWA2,15780,1175,NPS_Battery_Voltage,1,33,,,,,,2016-12-01,,
161,40976,NPS_IMYA2,15781,1175,NPS_Battery_Voltage,1,33,,,,,,2016-12-01,,
162,40977,NPS_KAUA2,15782,1175,NPS_Battery_Voltage,1,33,,,,,,2016-12-01,,
163,40978,NPS_KLIA2,15783,1175,NPS_Battery_Voltage,1,33,,,,,,2016-12-01,,
164,40979,NPS_KUGA2,15784,1175,NPS_Battery_Voltage,1,33,,,,,,2016-12-01,,
165,40980,NPS_MITA2,15785,1175,NPS_Battery_Voltage,1,33,,,,,,2016-12-01,,
166,40981,NPS_MNOA2,15786,1175,NPS_Battery_Voltage,1,33,,,,,,2016-12-01,,
167,40982,NPS_PAMA2,15787,1175,NPS_Battery_Voltage,1,33,,,,,,2016-12-01,,
168,40983,NPS_RAMA2,15788,1175,NPS_Battery_Voltage,1,33,,,,,,2016-12-01,,
169,40984,NPS_RUGA2,15789,1175,NPS_Battery_Voltage,1,33,,,,,,2016-12-01,,
170,40985,NPS_SRWA2,15790,1175,NPS_Battery_Voltage,1,33,,,,,,2016-12-01,,
171,40986,NPS_SRTA2,15791,1175,NPS_Battery_Voltage,1,33,,,,,,2016-12-01,,
172,40987,NPS_SSIA2,15792,1175,NPS_Battery_Voltage,1,33,,,,,,2016-12-01,,
173,40988,NPS_SMPA2,15793,1175,NPS_Battery_Voltage,1,33,,,,,,2016-12-01,,
174,40989,NPS_TAHA2,15794,1175,NPS_Battery_Voltage,1,33,,,,,,2016-12-01,,
175,40990,NPS_TANA2,15795,1175,NPS_Battery_Voltage,1,33,,,,,,2016-12-01,,
176,40991,NPS_TEBA2,15796,1175,NPS_Battery_Voltage,1,33,,,,,,2016-12-01,,
177,40992,NPS_TKLA2,15797,1175,NPS_Battery_Voltage,1,33,,,,,,2016-12-01,,
178,40993,NPS_UPRA2,15798,1175,NPS_Battery_Voltage,1,33,,,,,,2016-12-01,,
179,40994,NPS_WIGA2,15799,1175,NPS_Battery_Voltage,1,33,,,,,,2016-12-01,,
180,40995,NPS_ASIA2,15770,1176,NPS_Gust_Dir,1,33,,,,,,2016-12-01,,
181,40996,NPS_CREA2,15771,1176,NPS_Gust_Dir,1,33,,,,,,2016-12-01,,
182,40997,NPS_CHMA2,15772,1176,NPS_Gust_Dir,1,33,,,,,,2016-12-01,,
183,40998,NPS_CTUA2,15773,1176,NPS_Gust_Dir,1,33,,,,,,2016-12-01,,
184,40999,NPS_CCLA2,15774,1176,NPS_Gust_Dir,1,33,,,,,,2016-12-01,,
185,41000,NPS_DVLA2,15775,1176,NPS_Gust_Dir,1,33,,,,,,2016-12-01,,
186,41001,NPS_DKLA2,15776,1176,NPS_Gust_Dir,1,33,,,,,,2016-12-01,,
187,41002,NPS_EVCA2,15777,1176,NPS_Gust_Dir,1,33,,,,,,2016-12-01,,
188,41003,NPS_ELLA2,15778,1176,NPS_Gust_Dir,1,33,,,,,,2016-12-01,,
189,41004,NPS_GGLA2,15779,1176,NPS_Gust_Dir,1,33,,,,,,2016-12-01,,
190,41005,NPS_HOWA2,15780,1176,NPS_Gust_Dir,1,33,,,,,,2016-12-01,,
191,41006,NPS_IMYA2,15781,1176,NPS_Gust_Dir,1,33,,,,,,2016-12-01,,
192,41007,NPS_KAUA2,15782,1176,NPS_Gust_Dir,1,33,,,,,,2016-12-01,,
193,41008,NPS_KLIA2,15783,1176,NPS_Gust_Dir,1,33,,,,,,2016-12-01,,
194,41009,NPS_KUGA2,15784,1176,NPS_Gust_Dir,1,33,,,,,,2016-12-01,,
195,41010,NPS_MITA2,15785,1176,NPS_Gust_Dir,1,33,,,,,,2016-12-01,,
196,41011,NPS_MNOA2,15786,1176,NPS_Gust_Dir,1,33,,,,,,2016-12-01,,
197,41012,NPS_PAMA2,15787,1176,NPS_Gust_Dir,1,33,,,,,,2016-12-01,,
198,41013,NPS_RAMA2,15788,1176,NPS_Gust_Dir,1,33,,,,,,2016-12-01,,
199,41014,NPS_RUGA2,15789,1176,NPS_Gust_Dir,1,33,,,,,,2016-12-01,,
200,41015,NPS_SRWA2,15790,1176,NPS_Gust_Dir,1,33,,,,,,2016-12-01,,
201,41016,NPS_SRTA2,15791,1176,NPS_Gust_Dir,1,33,,,,,,2016-12-01,,
202,41017,NPS_SSIA2,15792,1176,NPS_Gust_Dir,1,33,,,,,,2016-12-01,,
203,41018,NPS_SMPA2,15793,1176,NPS_Gust_Dir,1,33,,,,,,2016-12-01,,
204,41019,NPS_TAHA2,15794,1176,NPS_Gust_Dir,1,33,,,,,,2016-12-01,,
205,41020,NPS_TANA2,15795,1176,NPS_Gust_Dir,1,33,,,,,,2016-12-01,,
206,41021,NPS_TEBA2,15796,1176,NPS_Gust_Dir,1,33,,,,,,2016-12-01,,
207,41022,NPS_TKLA2,15797,1176,NPS_Gust_Dir,1,33,,,,,,2016-12-01,,
208,41023,NPS_UPRA2,15798,1176,NPS_Gust_Dir,1,33,,,,,,2016-12-01,,
209,41024,NPS_WIGA2,15799,1176,NPS_Gust_Dir,1,33,,,,,,2016-12-01,,
210,41025,NPS_ASIA2,15770,1177,NPS_Peak_Wind_Speed,1,33,,,,,,2016-12-01,,
211,41026,NPS_CREA2,15771,1177,NPS_Peak_Wind_Speed,1,33,,,,,,2016-12-01,,
212,41027,NPS_CHMA2,15772,1177,NPS_Peak_Wind_Speed,1,33,,,,,,2016-12-01,,
213,41028,NPS_CTUA2,15773,1177,NPS_Peak_Wind_Speed,1,33,,,,,,2016-12-01,,
214,41029,NPS_CCLA2,15774,1177,NPS_Peak_Wind_Speed,1,33,,,,,,2016-12-01,,
215,41030,NPS_DVLA2,15775,1177,NPS_Peak_Wind_Speed,1,33,,,,,,2016-12-01,,
216,41031,NPS_DKLA2,15776,1177,NPS_Peak_Wind_Speed,1,33,,,,,,2016-12-01,,
217,41032,NPS_EVCA2,15777,1177,NPS_Peak_Wind_Speed,1,33,,,,,,2016-12-01,,
218,41033,NPS_ELLA2,15778,1177,NPS_Peak_Wind_Speed,1,33,,,,,,2016-12-01,,
219,41034,NPS_GGLA2,15779,1177,NPS_Peak_Wind_Speed,1,33,,,,,,2016-12-01,,
220,41035,NPS_HOWA2,15780,1177,NPS_Peak_Wind_Speed,1,33,,,,,,2016-12-01,,
221,41036,NPS_IMYA2,15781,1177,NPS_Peak_Wind_Speed,1,33,,,,,,2016-12-01,,
222,41037,NPS_KAUA2,15782,1177,NPS_Peak_Wind_Speed,1,33,,,,,,2016-12-01,,
223,41038,NPS_KLIA2,15783,1177,NPS_Peak_Wind_Speed,1,33,,,,,,2016-12-01,,
224,41039,NPS_KUGA2,15784,1177,NPS_Peak_Wind_Speed,1,33,,,,,,2016-12-01,,
225,41040,NPS_MITA2,15785,1177,NPS_Peak_Wind_Speed,1,33,,,,,,2016-12-01,,
226,41041,NPS_MNOA2,15786,1177,NPS_Peak_Wind_Speed,1,33,,,,,,2016-12-01,,
227,41042,NPS_PAMA2,15787,1177,NPS_Peak_Wind_Speed,1,33,,,,,,2016-12-01,,
228,41043,NPS_RAMA2,15788,1177,NPS_Peak_Wind_Speed,1,33,,,,,,2016-12-01,,
229,41044,NPS_RUGA2,15789,1177,NPS_Peak_Wind_Speed,1,33,,,,,,2016-12-01,,
230,41045,NPS_SRWA2,15790,1177,NPS_Peak_Wind_Speed,1,33,,,,,,2016-12-01,,
231,41046,NPS_SRTA2,15791,1177,NPS_Peak_Wind_Speed,1,33,,,,,,2016-12-01,,
232,41047,NPS_SSIA2,15792,1177,NPS_Peak_Wind_Speed,1,33,,,,,,2016-12-01,,
233,41048,NPS_SMPA2,15793,1177,NPS_Peak_Wind_Speed,1,33,,,,,,2016-12-01,,
234,41049,NPS_TAHA2,15794,1177,NPS_Peak_Wind_Speed,1,33,,,,,,2016-12-01,,
235,41050,NPS_TANA2,15795,1177,NPS_Peak_Wind_Speed,1,33,,,,,,2016-12-01,,
236,41051,NPS_TEBA2,15796,1177,NPS_Peak_Wind_Speed,1,33,,,,,,2016-12-01,,
237,41052,NPS_TKLA2,15797,1177,NPS_Peak_Wind_Speed,1,33,,,,,,2016-12-01,,
238,41053,NPS_UPRA2,15798,1177,NPS_Peak_Wind_Speed,1,33,,,,,,2016-12-01,,
239,41054,NPS_WIGA2,15799,1177,NPS_Peak_Wind_Speed,1,33,,,,,,2016-12-01,,
240,41055,NPS_ASIA2,15770,1179,NPS_Solar_Rad,1,33,,,,,,2016-12-01,,
241,41056,NPS_CREA2,15771,1179,NPS_Solar_Rad,1,33,,,,,,2016-12-01,,
242,41057,NPS_CHMA2,15772,1179,NPS_Solar_Rad,1,33,,,,,,2016-12-01,,
243,41058,NPS_CTUA2,15773,1179,NPS_Solar_Rad,1,33,,,,,,2016-12-01,,
244,41059,NPS_CCLA2,15774,1179,NPS_Solar_Rad,1,33,,,,,,2016-12-01,,
245,41060,NPS_DVLA2,15775,1179,NPS_Solar_Rad,1,33,,,,,,2016-12-01,,
246,41061,NPS_DKLA2,15776,1179,NPS_Solar_Rad,1,33,,,,,,2016-12-01,,
247,41062,NPS_EVCA2,15777,1179,NPS_Solar_Rad,1,33,,,,,,2016-12-01,,
248,41063,NPS_ELLA2,15778,1179,NPS_Solar_Rad,1,33,,,,,,2016-12-01,,
249,41064,NPS_GGLA2,15779,1179,NPS_Solar_Rad,1,33,,,,,,2016-12-01,,
250,41065,NPS_HOWA2,15780,1179,NPS_Solar_Rad,1,33,,,,,,2016-12-01,,
251,41066,NPS_IMYA2,15781,1179,NPS_Solar_Rad,1,33,,,,,,2016-12-01,,
252,41067,NPS_KAUA2,15782,1179,NPS_Solar_Rad,1,33,,,,,,2016-12-01,,
253,41068,NPS_KLIA2,15783,1179,NPS_Solar_Rad,1,33,,,,,,2016-12-01,,
254,41069,NPS_KUGA2,15784,1179,NPS_Solar_Rad,1,33,,,,,,2016-12-01,,
255,41070,NPS_MITA2,15785,1179,NPS_Solar_Rad,1,33,,,,,,2016-12-01,,
256,41071,NPS_MNOA2,15786,1179,NPS_Solar_Rad,1,33,,,,,,2016-12-01,,
257,41072,NPS_PAMA2,15787,1179,NPS_Solar_Rad,1,33,,,,,,2016-12-01,,
258,41073,NPS_RAMA2,15788,1179,NPS_Solar_Rad,1,33,,,,,,2016-12-01,,
