datastreamid,datastreamname,siteid,variableid,fieldname,deviceid,methodid,comments,qualitycontrollevelid,rangemin,rangemax,annualtiming,downloaddate,bdate,edate
41409,NPS_TAHA2,15794,1177,NPS_Peak_Wind_Speed,1,33,,,,,,12/1/16,,
41410,NPS_TANA2,15795,1177,NPS_Peak_Wind_Speed,1,33,,,,,,12/1/16,,
41411,NPS_TEBA2,15796,1177,NPS_Peak_Wind_Speed,1,33,,,,,,12/1/16,,
41412,NPS_TKLA2,15797,1177,NPS_Peak_Wind_Speed,1,33,,,,,,12/1/16,,
41413,NPS_UPRA2,15798,1177,NPS_Peak_Wind_Speed,1,33,,,,,,12/1/16,,
41414,NPS_WIGA2,15799,1177,NPS_Peak_Wind_Speed,1,33,,,,,,12/1/16,,
41415,NPS_ASIA2,15770,1178,NPS_Solar_Rad,1,33,,,,,,12/1/16,,
41416,NPS_CREA2,15771,1178,NPS_Solar_Rad,1,33,,,,,,12/1/16,,
41417,NPS_CHMA2,15772,1178,NPS_Solar_Rad,1,33,,,,,,12/1/16,,
41418,NPS_CTUA2,15773,1178,NPS_Solar_Rad,1,33,,,,,,12/1/16,,
41419,NPS_CCLA2,15774,1178,NPS_Solar_Rad,1,33,,,,,,12/1/16,,
41420,NPS_DVLA2,15775,1178,NPS_Solar_Rad,1,33,,,,,,12/1/16,,
41421,NPS_DKLA2,15776,1178,NPS_Solar_Rad,1,33,,,,,,12/1/16,,
41422,NPS_EVCA2,15777,1178,NPS_Solar_Rad,1,33,,,,,,12/1/16,,
41423,NPS_ELLA2,15778,1178,NPS_Solar_Rad,1,33,,,,,,12/1/16,,
41424,NPS_GGLA2,15779,1178,NPS_Solar_Rad,1,33,,,,,,12/1/16,,
41425,NPS_HOWA2,15780,1178,NPS_Solar_Rad,1,33,,,,,,12/1/16,,
41426,NPS_IMYA2,15781,1178,NPS_Solar_Rad,1,33,,,,,,12/1/16,,
41427,NPS_KAUA2,15782,1178,NPS_Solar_Rad,1,33,,,,,,12/1/16,,
41428,NPS_KLIA2,15783,1178,NPS_Solar_Rad,1,33,,,,,,12/1/16,,
41429,NPS_KUGA2,15784,1178,NPS_Solar_Rad,1,33,,,,,,12/1/16,,
41430,NPS_MITA2,15785,1178,NPS_Solar_Rad,1,33,,,,,,12/1/16,,
