373	"UAF-WERC-NSL_WaterChem:  L9817-20, 4/16/2008 1620	"
374	"UAF-WERC-NSL_WaterChem: L9817-22, 4/16/2008 1530	"
375	"UAF-WERC-NSL_WaterChem:  MSBN-CT (page 1 of 2), 4/18/2008 1254	"
376	"UAF-WERC-NSL_WaterChem:  MSBS-CT (page 1 of 2), 4/18/2008 1445	"
377	"UAF-WERC-NSL_WaterChem: MSBS-SW, 4/18/2008 1610	"
378	"UAF-WERC-NSL_WaterChem: K113_CT, 5/18/2008 0930	"
379	"UAF-WERC-NSL_WaterChem: KDA1, 5/15/2008 1747	"
380	"UAF-WERC-NSL_WaterChem: KDA2, 5/15/2008 1445	"
381	"UAF-WERC-NSL_WaterChem: KDA3, 5/15/2008 1559	"
382	"UAF-WERC-NSL_WaterChem: L9312 Raft B, 5/10/2008 1014	"
383	"UAF-WERC-NSL_WaterChem: L9312 Screen, 5/10/2008 1145	"
384	"UAF-WERC-NSL_WaterChem: L9312 SH, 5/10/2008 1235	"
385	"UAF-WERC-NSL_WaterChem: L9817-1, 5/11/2008 1049,  PASS (pH Fail)	"
386	"UAF-WERC-NSL_WaterChem: L9817-2, 5/11/2008 1115, PASS (Fail pH)	"
387	"UAF-WERC-NSL_WaterChem: L9817-3, 5/11/2008 1145, PASS (Fail pH)	"
388	"UAF-WERC-NSL_WaterChem: L9817-20, 5/11/2008 1345	"
389	UAF-WERC-NSL_WaterChem: L9817-22, 5/11/2008 1300, ph fail
390	UAF-WERC-NSL_WaterChem: L9817-23, 5/11/2008 1217, ph fail
391	"UAF-WERC-NSL_WaterChem: MSBN-CT (page 1 of 2), 5/16/2008 1419	"
392	"UAF-WERC-NSL_WaterChem: MSBS-CT (page 2 of 2), 5/16/2008 1520	"
393	"UAF-WERC-NSL_WaterChem:  MSBS-SW, 5/16/2008 1645	"
394	"UAF-WERC-NSL_WaterChem: Vern-CT, 5/17/2008 1134	"
395	"UAF-WERC-NSL_WaterChem: Webster-res-CT, 5/17/2008 1439	"
